"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"093001","Andreis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",242,"e","dato stimato"
"064003","Andretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1678,"e","dato stimato"
"021002","Andriano/Andrian","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1025,"e","dato stimato"
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",447,"e","dato stimato"
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5391,"e","dato stimato"
"051001","Anghiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5384,"e","dato stimato"
"023003","Angiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2489,"e","dato stimato"
"065007","Angri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",33972,"e","dato stimato"
"058005","Anguillara Sabazia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",19091,"e","dato stimato"
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1086,"e","dato stimato"
"076004","Anzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1524,"e","dato stimato"
"058007","Anzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",58949,"e","dato stimato"
"037001","Anzola dell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",12377,"e","dato stimato"
"103002","Anzola d'Ossola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",373,"e","dato stimato"
"041002","Apecchio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1704,"e","dato stimato"
"062003","Apice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5286,"e","dato stimato"
"043002","Apiro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2035,"e","dato stimato"
"062004","Apollosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2462,"e","dato stimato"
"013010","Appiano Gentile","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",7686,"e","dato stimato"
"021004","Appiano sulla strada del vino/Eppan an der Weinstraße","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",14800,"e","dato stimato"
"043003","Appignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4048,"e","dato stimato"
"044005","Appignano del Tronto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1660,"e","dato stimato"
"014004","Aprica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1464,"e","dato stimato"
"008002","Apricale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",626,"e","dato stimato"
"078012","Aprigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2366,"e","dato stimato"
"059001","Aprilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",74126,"e","dato stimato"
"065008","Aquara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1342,"e","dato stimato"
"008003","Aquila d'Arroscia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",142,"e","dato stimato"
"064004","Aquilonia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1462,"e","dato stimato"
"060007","Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4932,"e","dato stimato"
"075006","Aradeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",8847,"e","dato stimato"
"084003","Aragona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",8766,"e","dato stimato"
"093002","Arba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1260,"e","dato stimato"
"095006","Arborea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3749,"e","dato stimato"
"002006","Arborio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",822,"e","dato stimato"
"026002","Arcade","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4494,"e","dato stimato"
"060008","Arce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5439,"e","dato stimato"
"016011","Arcene","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4928,"e","dato stimato"
"042003","Arcevia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4231,"e","dato stimato"
"053001","Arcidosso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4165,"e","dato stimato"
"058008","Arcinazzo Romano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1226,"e","dato stimato"
"012004","Arcisate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",9933,"e","dato stimato"
"022006","Arco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",17750,"e","dato stimato"
"023004","Arcole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6364,"e","dato stimato"
"015007","Arconate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6756,"e","dato stimato"
"108004","Arcore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",17825,"e","dato stimato"
"090005","Ardara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",729,"e","dato stimato"
"095007","Ardauli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",765,"e","dato stimato"
"058117","Ardea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",49057,"e","dato stimato"
"014005","Ardenno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3214,"e","dato stimato"
"080005","Ardore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4819,"e","dato stimato"
