"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.556,,
"ITF65","Reggio di Calabria","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.034,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.057,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.82,,
"ITF12","Teramo","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.174,,
"ITF44","Brindisi","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.983,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.072,,
"ITG16","Enna","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.738,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.579,,
"ITG19","Siracusa","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",57.934,,
"ITF33","Napoli","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",55.747,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.085,,
"ITF14","Chieti","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.169,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",55.812,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",55.913,,
